127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.000869
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.002750
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.002253
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.001941
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.003215
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.003800
127.0.0.1, 2015-12-02 14:24:18, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.047703
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.037733
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001330
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000459
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000327
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.000777
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000745
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.000674
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005054
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.005122
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.001311
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000790
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.004020
127.0.0.1, 2015-12-02 14:24:19, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2015-12-02 14:24:19, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.003328
127.0.0.1, 2015-12-02 14:24:19, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.005750
127.0.0.1, 2015-12-02 14:24:19, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.001255
127.0.0.1, 2015-12-02 14:24:19, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.000445
127.0.0.1, 2015-12-02 14:24:19, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.047697
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.042520
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000447
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.001529
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001422
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000408
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000866
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004172
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001912
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.002596
